rank,name,confed,off,def,spi
160,Hong Kong,AFC,0.44,1.52,19.38
161,India,AFC,0.61,1.83,19.38
162,Vanuatu,OFC,0.7,1.97,19.37
163,Philippines,AFC,0.74,2.08,18.96
164,Tajikistan,AFC,0.69,2.0,18.76
165,Dominica,CONCACAF,0.47,1.66,18.28
166,South Sudan,CAF,0.79,2.28,17.64
167,St. Lucia,CONCACAF,0.64,2.04,17.39
168,Malta,UEFA,0.63,2.02,17.36
169,Sao Tome and Principe,CAF,0.82,2.36,17.22
170,Singapore,AFC,0.48,1.77,17.17
171,Indonesia,AFC,0.6,2.02,16.71
172,Grenada,CONCACAF,0.68,2.22,16.04
173,Yemen,AFC,0.37,1.69,15.36
174,St. Vincent and the Grenadines,CONCACAF,0.72,2.37,15.29
175,Liechtenstein,UEFA,0.64,2.23,15.21
176,Malaysia,AFC,0.51,2.07,14.42
177,Gibraltar,UEFA,0.53,2.11,14.21
178,Seychelles,CAF,0.48,2.38,11.07
179,Afghanistan,AFC,0.6,2.62,10.96
180,Andorra,UEFA,0.24,1.86,10.78
181,Aruba,CONCACAF,0.64,2.76,10.68
182,Montserrat,CONCACAF,0.81,3.24,9.65
183,Cayman Islands,CONCACAF,0.4,2.41,9.43
184,Papua New Guinea,OFC,0.6,2.88,9.16
185,Myanmar,AFC,0.39,2.5,8.72
186,Chinese Taipei,AFC,0.43,2.69,8.04
187,Nepal,AFC,0.2,2.13,7.9
188,Bahamas,CONCACAF,0.73,3.44,7.5
189,Maldives,AFC,0.41,2.87,6.75
190,French Guiana,CONCACAF,0.52,3.18,6.57
191,Mongolia,AFC,0.32,2.93,5.4
192,Somalia,CAF,0.4,3.14,5.39
193,Djibouti,CAF,0.44,3.33,5.03
194,Bangladesh,AFC,0.2,2.67,5.0
195,San Marino,UEFA,0.27,3.07,4.2
196,British Virgin Islands,CONCACAF,0.42,3.62,3.88
197,Bonaire,CONCACAF,0.37,3.59,3.5
198,Cambodia,AFC,0.28,3.52,3.01
199,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
200,Guadeloupe,CONCACAF,0.2,3.49,2.47
201,Anguilla,CONCACAF,0.36,4.03,2.41
202,Pakistan,AFC,0.23,3.74,2.18
203,Bhutan,AFC,0.27,4.03,1.94
204,US Virgin Islands,CONCACAF,0.38,4.38,1.93
205,Brunei,AFC,0.22,3.9,1.84
206,Sri Lanka,AFC,0.22,4.14,1.51
207,Laos,AFC,0.27,4.42,1.37
208,Timor-Leste,AFC,0.3,4.85,1.05
209,Guam,AFC,0.29,5.04,0.88
210,St. Martin,CONCACAF,0.23,4.89,0.81
211,Sint Maarten,CONCACAF,0.21,4.93,0.74
212,Tuvalu,OFC,0.38,5.62,0.7
213,Macau,AFC,0.2,5.75,0.34
214,Samoa,OFC,0.2,5.78,0.34
215,Tonga,OFC,0.2,6.08,0.26
